Tm,R/G,R,H,Doubles,Triples,HR,RBI,BB,SO,BA
ARI,5.02,813,1419,288,40,220,778,540,1360,0.252
ATL,5.28,855,1432,277,29,249,824,619,1467,0.258
BAL,4.5,729,1379,252,25,213,698,462,1435,0.246
BOS,5.56,901,1554,345,27,245,857,590,1382,0.269
CHC,5.02,814,1378,270,26,256,783,581,1460,0.252
CHW,4.4,708,1443,260,20,182,676,378,1549,0.261
CIN,4.33,701,1328,235,27,227,679,492,1436,0.244
CLE,4.75,769,1354,286,18,223,731,563,1332,0.25
COL,5.15,835,1502,323,41,224,803,489,1503,0.265
DET,3.61,582,1333,292,41,149,556,391,1595,0.24
HOU,5.68,920,1538,323,28,288,891,645,1166,0.274
KCR,4.27,691,1356,281,40,162,655,456,1405,0.247
LAA,4.75,769,1368,268,21,220,734,586,1276,0.247
LAD,5.47,886,1414,302,20,279,861,607,1356,0.257
MIA,3.8,615,1326,265,18,146,593,395,1469,0.241
MIL,4.75,769,1366,279,17,250,744,629,1563,0.246
MIN,5.8,939,1547,318,23,307,906,525,1334,0.27
NYM,4.88,791,1445,280,17,242,767,516,1384,0.257
NYY,5.82,943,1493,290,17,306,904,569,1437,0.267
OAK,5.22,845,1384,292,23,257,800,578,1338,0.249
PHI,4.78,774,1369,311,26,215,742,562,1453,0.246
PIT,4.68,758,1497,315,38,163,722,425,1213,0.265
SDP,4.21,682,1281,224,24,219,652,504,1581,0.238
SEA,4.68,758,1305,254,28,239,730,588,1581,0.237
SFG,4.19,678,1332,300,26,167,655,475,1435,0.239
STL,4.72,764,1336,246,24,210,714,561,1420,0.245
TBR,4.75,769,1427,291,29,217,730,542,1493,0.254
TEX,5,810,1374,296,24,223,765,534,1578,0.248
TOR,4.48,726,1299,270,21,247,697,509,1514,0.236
WSN,5.39,873,1460,298,27,231,824,584,1308,0.265